rank,name,role,goals,pens,assist,minutes,matches
1,James RODRIGUEZ,,6,1,2,399,5
2,Thomas MUELLER,,5,1,3,682,7
3,Neymar,,4,1,1,457,5
4,Lionel MESSI,,4,0,1,693,7
5,Robin VAN PERSIE,,4,1,0,548,6
6,Karim Benzema,,3,1,2,450,5
7,Andre SCHUERRLE,,3,0,1,244,6
8,Arjen ROBBEN,,3,0,1,690,7
9,Enner Valencia,,3,0,0,270,3
10,Xherdan SHAQIRI,,3,0,0,387,4
11,Toni KROOS,,2,0,4,690,7
12,Abdelmoumene DJABOU,,2,0,1,170,3
13,Memphis Depay,,2,0,1,173,4
14,Ivan Perišic,,2,0,1,258,3
15,Gervinho,,2,0,1,263,3
16,Asamoah Gyan,,2,0,1,270,3
17,Islam SLIMANI,,2,0,1,324,4
18,Alexis SANCHEZ,,2,0,1,390,4
19,Oscar,,2,0,1,640,7
20,DAVID LUIZ,,2,0,1,660,7
21,Tim CAHILL,,2,0,0,159,2
22,Wilfried BONY,,2,0,0,167,3
23,Luis SUAREZ,,2,0,0,178,2
24,Mario MANDZUKIC,,2,0,0,180,2
25,Jackson MARTINEZ,,2,0,0,194,3
26,Mario GOETZE,,2,0,0,258,6
27,André Ayew,,2,0,0,261,3
28,Miroslav KLOSE,,2,0,0,280,5
29,Ahmed MUSA,,2,0,0,335,4
30,Clint Dempsey,,2,0,0,387,4
31,Bryan RUIZ,,2,0,0,494,5
32,Mats HUMMELS,,2,0,0,509,6
33,Juan CUADRADO,,1,1,4,387,5
34,Eduardo VARGAS,,1,0,2,311,4
35,Sofiane FEGHOULI,,1,1,2,390,4
36,Kevin DE BRUYNE,,1,0,2,390,4
37,Daley Blind,,1,0,2,670,7
38,Klaas Jan HUNTELAAR,,1,1,1,52,3
39,LEE Keunho,,1,0,1,104,3
40,Olivier Giroud,,1,0,1,165,5
41,Yacine BRAHIMI,,1,0,1,190,3
42,Wayne Rooney,,1,0,1,194,3
43,Cristiano Ronaldo,,1,0,1,270,3
44,Keisuke HONDA,,1,0,1,270,3
45,Miralem PJANIC,,1,0,1,270,3
46,Oribe PERALTA,,1,0,1,302,4
47,Teofilo GUTIERREZ,,1,0,1,304,4
48,Mathieu Valbuena,,1,0,1,335,4
49,Paul Pogba,,1,0,1,354,5
50,Edinson CAVANI,,1,1,1,360,4
51,Rafael MARQUEZ,,1,0,1,360,4
52,Charles ARANGUIZ,,1,0,1,364,4
53,Sami KHEDIRA,,1,0,1,376,5
54,Georgios SAMARAS,,1,1,1,390,4
55,Joel CAMPBELL,,1,0,1,415,5
56,Thiago Silva,,1,0,1,570,6
57,Gonzalo HIGUAIN,,1,0,1,571,7
58,Wesley SNEIJDER,,1,0,1,585,6
59,Mesut OEZIL,,1,0,1,655,7
60,Julian GREEN,,1,0,0,13,1
61,Leroy FER,,1,0,0,15,1
62,Juan Mata,,1,0,0,34,1
63,John Brooks,,1,0,0,44,1
64,VARELA,,1,0,0,50,2
65,Blerim DZEMAILI,,1,0,0,54,3
66,David Villa,,1,0,0,56,1
67,Jean Beausejour,,1,0,0,66,2
68,Javier HERNANDEZ,,1,0,0,75,4
69,Avdija VRSAJEVIC,,1,0,0,90,1
70,Juan Quintero,,1,0,0,93,3
71,Jorge VALDIVIA,,1,0,0,93,3
72,Aleksandr Kerzhakov,,1,0,0,101,3
73,Marcos URENA,,1,0,0,102,4
74,Andreas SAMARIS,,1,0,0,136,2
75,Haris SEFEROVIC,,1,0,0,139,4
76,Vedad IBISEVIC,,1,0,0,144,3
77,Fernando Torres,,1,0,0,144,3
78,Romelu LUKAKU,,1,0,0,175,4
79,Joel Matip,,1,0,0,180,2
80,Xabi Alonso,,1,1,0,191,3
81,Mario BALOTELLI,,1,0,0,209,3
82,Moussa Sissoko,,1,0,0,214,4
83,Claudio MARCHISIO,,1,0,0,218,3
84,Carlo COSTLY,,1,0,0,220,3
85,Ivica Olic,,1,0,0,228,3
86,Divock ORIGI,,1,0,0,245,5
87,SON Heungmin,,1,0,0,247,3
88,Shinji OKAZAKI,,1,0,0,249,3
89,Daniel Sturridge,,1,0,0,260,3
90,Edin DZEKO,,1,0,0,264,3
91,Dries MERTENS,,1,0,0,269,5
92,Aleksandr Kokorin,,1,0,0,270,3
93,Reza Ghoochannejhad,,1,0,0,270,3
94,KOO Jacheol,,1,0,0,270,3
95,Mile JEDINAK,,1,1,0,270,3
96,Nani,,1,0,0,270,3
97,Peter ODEMWINGIE,,1,0,0,281,4
98,FERNANDINHO,,1,0,0,296,5
99,Giovani DOS SANTOS,,1,0,0,297,4
100,Granit XHAKA,,1,0,0,323,4
101,Andres GUARDADO,,1,0,0,333,4
102,Óscar Duarte,,1,0,0,336,4
103,Admir MEHMEDI,,1,0,0,337,4
104,Diego GODIN,,1,0,0,360,4
105,Rafik HALLICHE,,1,0,0,367,4
106,Sokratis PAPASTATHOPOULOS,,1,0,0,390,4
107,Jermaine JONES,,1,0,0,390,4
108,Marouane FELLAINI,,1,0,0,415,5
109,Pablo ARMERO,,1,0,0,416,5
110,Angel DI MARIA,,1,0,0,423,5
111,Blaise Matuidi,,1,0,0,427,5
112,Jan VERTONGHEN,,1,0,0,449,5
113,FRED,,1,0,0,471,6
114,Georginio Wijnaldum,,1,0,0,550,7
115,Marcos ROJO,,1,0,0,615,6
116,Stefan DE VRIJ,,1,0,0,677,7
1,Thomas MUELLER,MF,5,0,3,473,6
2,David VILLA,FW,5,0,1,634,7
3,Wesley SNEIJDER,MF,5,0,1,652,7
4,Diego FORLAN,FW,5,1,1,654,7
5,Gonzalo HIGUAIN,FW,4,0,0,341,4
6,Robert VITTEK,FW,4,1,0,353,4
7,Miroslav KLOSE,FW,4,0,0,357,5
8,Luis SUAREZ,FW,3,0,2,543,6
9,Landon DONOVAN,MF,3,1,0,390,4
10,LUIS FABIANO,FW,3,0,0,418,5
11,Asamoah GYAN,FW,3,2,0,501,5
12,Lukas PODOLSKI,FW,2,0,2,531,6
13,ELANO,MF,2,0,1,140,2
14,TIAGO,MF,2,0,1,298,4
15,ROBINHO,FW,2,0,1,354,4
16,Arjen ROBBEN,FW,2,0,1,387,5
17,Keisuke HONDA,MF,2,0,1,390,4
18,Brett HOLMAN,FW,2,0,0,137,3
19,Javier HERNANDEZ,FW,2,0,0,169,4
20,Kalu UCHE,MF,2,0,0,195,3
21,Samuel ETOO,FW,2,1,0,270,3
