rank,team,yellow cards,second yellow,red cards,matches
1,Uruguay,8,0,1,4
2,Belgium,7,0,1,5
3,Ecuador,5,0,1,3
4,Cameroon,4,0,1,3
5,Croatia,4,0,1,3
6,Italy,3,0,1,3
7,Portugal,2,0,1,3
8,Costa Rica,10,1,0,5
9,Greece,6,1,0,4
10,Honduras,5,1,0,3
11,Brazil,14,0,0,7
12,Netherlands,11,0,0,7
13,Mexico,8,0,0,4
14,Argentina,8,0,0,7
15,Côte d'Ivoire,7,0,0,3
16,Chile,7,0,0,4
17,Ghana,6,0,0,3
18,Korea Republic,6,0,0,3
19,Australia,6,0,0,3
20,Algeria,6,0,0,4
21,Germany,6,0,0,7
22,France,5,0,0,5
23,Colombia,5,0,0,5
24,Iran,4,0,0,3
25,Japan,4,0,0,3
26,England,4,0,0,3
27,Russia,4,0,0,3
28,USA,4,0,0,4
29,Spain,3,0,0,3
30,Bosnia and Herzegovina,3,0,0,3
31,Switzerland,3,0,0,4
32,Nigeria,3,0,0,4
1,Australia,7,0,2,3
2,Uruguay,10,1,1,7
3,Brazil,8,1,1,5
4,Switzerland,8,0,1,3
5,Portugal,8,0,1,4
6,France,6,0,1,3
7,Nigeria,5,0,1,3
8,South Africa,4,0,1,3
9,Algeria,6,2,0,3
10,Netherlands,23,1,0,7
11,Chile,14,1,0,4
12,Germany,12,1,0,7
13,Serbia,9,1,0,3
14,Slovakia,11,0,0,4
15,Ghana,11,0,0,5
16,Slovenia,9,0,0,3
17,Mexico,9,0,0,4
18,USA,9,0,0,4
19,Paraguay,9,0,0,5
20,Spain,8,0,0,7
21,Honduras,7,0,0,3
22,Japan,7,0,0,4
23,Argentina,7,0,0,5
24,Denmark,6,0,0,3
25,New Zealand,6,0,0,3
26,England,6,0,0,4
27,Korea Republic,6,0,0,4
28,Cameroon,5,0,0,3
29,Ivory Coast,5,0,0,3
30,Greece,5,0,0,3
31,Italy,5,0,0,3
32,Korea DPR,2,0,0,3
1,Italy,11,0,2,7
2,Serbia and Montenegro,11,1,1,3
3,Czech Republic,6,1,1,3
4,USA,4,1,1,3
5,France,16,0,1,7
6,Ukraine,12,0,1,5
7,Argentina,12,0,1,5
8,England,9,0,1,5
9,Portugal,22,2,0,7
10,Netherlands,14,2,0,4
11,Croatia,9,2,0,3
12,Ghana,17,1,0,4
13,Tunisia,13,1,0,3
14,Mexico,11,1,0,4
15,Angola,10,1,0,3
16,Australia,10,1,0,4
17,Poland,9,1,0,3
18,Togo,9,1,0,3
19,Trinidad and Tobago,9,1,0,3
20,Sweden,9,1,0,4
21,Ivory Coast,8,1,0,3
22,Switzerland,12,0,0,4
23,Germany,12,0,0,7
24,Brazil,11,0,0,5
25,Korea Republic,9,0,0,3
26,Ecuador,9,0,0,4
27,Paraguay,8,0,0,3
28,Costa Rica,8,0,0,3
29,Iran,8,0,0,3
30,Japan,7,0,0,3
31,Spain,6,0,0,4
32,Saudi Arabia,5,0,0,3
1,Turkey,18,1,1,7
2,Paraguay,10,1,1,4
3,Portugal,7,1,1,3
4,Senegal,14,0,1,5
5,Slovenia,10,0,1,3
