rank,team,goals for,goals against,penalties,matches
1,Germany,18,4,1,7
2,Netherlands,15,4,2,7
3,Colombia,12,4,2,5
4,Brazil,11,14,1,7
5,France,10,3,1,5
6,Argentina,8,4,0,7
7,Algeria,7,7,1,4
8,Switzerland,7,7,0,4
9,Croatia,6,6,0,3
10,Chile,6,4,0,4
11,Belgium,6,3,0,5
12,Mexico,5,3,0,4
13,USA,5,6,0,4
14,Costa Rica,5,2,0,5
15,Bosnia and Herzegovina,4,4,0,3
16,Côte d'Ivoire,4,5,0,3
17,Ghana,4,6,0,3
18,Spain,4,7,1,3
19,Portugal,4,7,0,3
20,Uruguay,4,6,1,4
21,Ecuador,3,3,0,3
22,Korea Republic,3,6,0,3
23,Australia,3,9,1,3
24,Greece,3,5,1,4
25,Nigeria,3,5,0,4
26,Italy,2,3,0,3
27,Russia,2,3,0,3
28,England,2,4,0,3
29,Japan,2,6,0,3
30,Iran,1,4,0,3
31,Honduras,1,8,0,3
32,Cameroon,1,9,0,3
1,Germany,16,5,0,7
2,Netherlands,12,6,0,7
3,Uruguay,11,8,1,7
4,Argentina,10,6,0,5
5,Brazil,9,4,0,5
6,Spain,8,2,0,7
7,Portugal,7,1,0,4
8,Korea Republic,6,8,0,4
9,USA,5,5,1,4
10,Slovakia,5,7,1,4
11,Ghana,5,4,2,5
12,Côte d'Ivoire,4,3,0,3
13,Italy,4,5,1,3
14,Mexico,4,5,1,4
15,Japan,4,2,0,4
16,Nigeria,3,5,1,3
17,South Africa,3,5,0,3
18,Australia,3,6,0,3
19,Slovenia,3,3,0,3
20,Denmark,3,6,0,3
21,England,3,5,0,4
22,Chile,3,5,0,4
23,Paraguay,3,2,0,5
24,Cameroon,2,5,1,3
25,Greece,2,5,0,3
26,New Zealand,2,2,0,3
27,Serbia,2,3,0,3
28,Switzerland,1,1,0,3
29,France,1,4,0,3
30,Korea DPR,1,12,0,3
1,Germany,14,6,0,7
2,Italy,12,2,1,7
3,Argentina,11,3,0,5
4,Brazil,10,2,0,5
5,Spain,9,4,3,4
6,France,9,3,2,7
7,Portugal,7,5,2,7
8,England,6,2,0,5
9,Côte d'Ivoire,5,6,2,3
10,Mexico,5,5,0,4
11,Ecuador,5,4,0,4
12,Australia,5,6,1,4
13,Ukraine,5,7,1,5
14,Switzerland,4,0,0,4
15,Ghana,4,6,1,4
16,Tunisia,3,6,0,3
17,Costa Rica,3,9,0,3
18,Korea Republic,3,4,0,3
19,Czech Republic,3,4,0,3
20,Sweden,3,4,0,4
21,Netherlands,3,2,0,4
22,Poland,2,4,0,3
23,Serbia and Montenegro,2,10,0,3
24,Saudi Arabia,2,7,0,3
25,Iran,2,6,0,3
26,Japan,2,7,0,3
27,Paraguay,2,2,0,3
28,Croatia,2,3,0,3
29,USA,2,6,0,3
30,Angola,1,2,0,3
31,Togo,1,6,0,3
1,Brazil,18,4,2,7
2,Germany,14,3,0,7
3,Spain,10,5,2,5
4,Turkey,10,6,0,7
5,Korea Republic,8,6,0,7
6,Senegal,7,6,1,5
7,USA,7,7,0,5
8,Portugal,6,4,0,3
9,Republic of Ireland,6,3,1,4
10,Belgium,6,7,0,4
11,Paraguay,6,7,0,4
12,England,6,3,1,5
13,Costa Rica,5,6,0,3
14,South Africa,5,5,1,3
15,Japan,5,3,0,4
16,Italy,5,5,0,4
17,Sweden,5,5,1,4
18,Denmark,5,5,1,4
19,Russia,4,4,1,3
20,Uruguay,4,5,1,3
21,Mexico,4,4,1,4
22,Poland,3,7,0,3
23,Croatia,2,3,0,3
24,Slovenia,2,7,0,3
25,Argentina,2,2,0,3
26,Ecuador,2,4,0,3
27,Cameroon,2,3,0,3
28,Nigeria,1,3,0,3
29,Tunisia,1,5,0,3
1,France,15,2,1,7
2,Brazil,14,10,1,7
3,Netherlands,13,7,0,7
4,Croatia,11,5,1,7
5,Argentina,10,4,2,5
6,Denmark,9,7,1,5
7,Spain,8,4,1,3
8,Mexico,8,7,1,4
9,Germany,8,6,0,5
10,Italy,8,3,1,5
11,England,7,4,1,4
12,Nigeria,6,9,0,4
13,Morocco,5,5,0,3
14,Chile,5,8,0,4
15,Norway,5,5,1,4
16,Yugoslavia,5,4,0,4
17,Romania,4,3,0,4
18,Austria,3,4,1,3
19,Belgium,3,3,0,3
20,Jamaica,3,9,0,3
21,South Africa,3,6,1,3
22,Paraguay,3,2,0,4
23,Iran,2,4,0,3
24,Korea Republic,2,9,0,3
25,Saudi Arabia,2,7,2,3
26,Cameroon,2,5,0,3
27,Scotland,2,6,1,3
28,Japan,1,4,0,3
29,Tunisia,1,4,1,3
30,Bulgaria,1,7,0,3
31,Colombia,1,3,0,3
32,USA,1,5,0,3
1,Sweden,15,8,1,7
2,Brazil,11,3,1,7
3,Romania,10,9,0,5
4,Spain,10,6,2,5
5,Bulgaria,10,11,3,7
6,Germany,9,7,1,5
7,Argentina,8,6,2,4
